frame_path,timestamp_sec,timestamp,description
data/frames/video1_frame_0000.jpg,0.0,00:00,three people standing on a beach at sunset near the ocean
data/frames/video1_frame_0001.jpg,2.0,00:02,three people standing on a beach at sunset near the ocean
data/frames/video1_frame_0002.jpg,4.0,00:04,three people standing on a beach at sunset near the ocean
data/frames/video1_frame_0003.jpg,6.0,00:06,three people standing on a beach at sunset near the ocean
data/frames/video1_frame_0004.jpg,8.0,00:08,three people standing on a beach at sunset near the ocean
data/frames/video1_frame_0005.jpg,10.0,00:10,three people standing on a beach at sunset near the ocean
data/frames/video1_frame_0006.jpg,12.0,00:12,three people standing on a beach at sunset near the ocean
data/frames/video1_frame_0007.jpg,14.0,00:14,a family sitting around a campfire at a campsite in the forest frying marshmellow
data/frames/video1_frame_0008.jpg,16.0,00:16,a family sitting around a campfire at a campsite in the forest frying marshmellow
data/frames/video1_frame_0009.jpg,18.0,00:18,a family sitting around a campfire at a campsite in the forest frying marshmellow
data/frames/video1_frame_0010.jpg,20.0,00:20,"a family of three sitting on a couch, dad is playing guitar, kid and mother are smiling"
data/frames/video1_frame_0011.jpg,22.0,00:22,"a family of three sitting on a couch, dad is playing guitar, kid is smiling"
data/frames/video1_frame_0012.jpg,24.0,00:24,"a family of three sitting on a couch, dad is playing guitar, kid and mother are singing"
data/frames/video1_frame_0013.jpg,26.0,00:26,"a family of three sitting on a couch, dad is playing guitar, kid and mother are singing"
data/frames/video1_frame_0014.jpg,28.0,00:28,"a family of three sitting on a couch, dad is playing guitar, kid and mother are singing"
data/frames/video1_frame_0015.jpg,30.0,00:30,"a family of three sitting on a couch, dad is playing guitar, kid and mother are singing"
data/frames/video1_frame_0016.jpg,32.0,00:32,man with a child on his hands and woman besides are watching sunset at the beach
data/frames/video1_frame_0017.jpg,34.0,00:34,man with a child on his hands and woman besides are watching sunset at the beach
data/frames/video1_frame_0018.jpg,36.0,00:36,man with a child on his hands and woman besides are watching sunset at the beach
data/frames/video1_frame_0019.jpg,38.0,00:38,man with a child on his hands and woman besides are watching sunset at the beach
data/frames/video1_frame_0020.jpg,40.0,00:40,man with a child on his hands and woman besides are watching sunset at the beach
data/frames/video1_frame_0021.jpg,42.0,00:42,man with a child on his hands and woman besides are watching sunset at the beach
data/frames/video1_frame_0022.jpg,44.0,00:44,a young family with a baby spending time together in a garden
data/frames/video1_frame_0023.jpg,46.0,00:46,a young family with a baby spending time together in a garden
data/frames/video1_frame_0024.jpg,48.0,00:48,a young family with a baby spending time together in a garden
data/frames/video1_frame_0025.jpg,50.0,00:50,"a family gathered in a kitchen, preparing food and sharing a meal together"
data/frames/video1_frame_0026.jpg,52.0,00:52,"a family gathered in a kitchen, preparing food and sharing a meal together"
data/frames/video1_frame_0027.jpg,54.0,00:54,"a family gathered in a kitchen, preparing food and sharing a meal together"
data/frames/video1_frame_0028.jpg,56.0,00:56,"a family gathered in a kitchen, preparing food and sharing a meal together"
data/frames/video1_frame_0029.jpg,58.0,00:58,"a family gathered in a kitchen, preparing food and sharing a meal together"
data/frames/video1_frame_0030.jpg,60.0,01:00,"a family gathering around a dining table decorated for Christmas, with a Christmas tree in the background"
data/frames/video1_frame_0031.jpg,62.0,01:02,"a family gathering around a dining table decorated for Christmas, with a Christmas tree in the background"
data/frames/video1_frame_0032.jpg,64.0,01:04,"a family gathering around a dining table decorated for Christmas, with a Christmas tree in the background"
data/frames/video1_frame_0033.jpg,66.0,01:06,"a family gathering around a dining table decorated for Christmas, with a Christmas tree in the background"
data/frames/video1_frame_0034.jpg,68.0,01:08,"a family gathering around a dining table decorated for Christmas, with a Christmas tree in the background"
data/frames/video1_frame_0035.jpg,70.0,01:10,"a family gathering around a dining table decorated for Christmas, with a Christmas tree in the background"
data/frames/video1_frame_0036.jpg,72.0,01:12,"a family gathering around a dining table decorated for Christmas, with a Christmas tree in the background"
data/frames/video1_frame_0037.jpg,74.0,01:14,pedestrians and cyclists crossing a street at a crosswalk in a city during daytime
data/frames/video1_frame_0038.jpg,76.0,01:16,pedestrians and cyclists crossing a street at a crosswalk in a city during daytime
data/frames/video1_frame_0039.jpg,78.0,01:18,pedestrians and cyclists crossing a street at a crosswalk in a city during daytime
data/frames/video1_frame_0040.jpg,80.0,01:20,pedestrians and cyclists crossing a street at a crosswalk in a city during daytime
data/frames/video1_frame_0041.jpg,82.0,01:22,pedestrians and cyclists crossing a street at a crosswalk in a city during daytime
data/frames/video1_frame_0042.jpg,84.0,01:24,"a family walking together in a field, with a child on a parent's shoulders and a dog nearby"
data/frames/video1_frame_0043.jpg,86.0,01:26,"a family walking together in a field, with a child on a parent's shoulders and a dog nearby"
data/frames/video1_frame_0044.jpg,88.0,01:28,"a family walking together in a field, with a child on a parent's shoulders and a dog nearby"
data/frames/video1_frame_0045.jpg,90.0,01:30,"a family walking together in a field, with a child on a parent's shoulders and a dog nearby"
data/frames/video1_frame_0046.jpg,92.0,01:32,"a family walking together in a field, with a child on a parent's shoulders and a dog nearby"
data/frames/video1_frame_0047.jpg,94.0,01:34,"a family walking together in a field, with a child on a parent's shoulders and a dog nearby"
data/frames/video1_frame_0048.jpg,96.0,01:36,"a family walking together in a field, with a child on a parent's shoulders and a dog nearby"
data/frames/video1_frame_0049.jpg,98.0,01:38,"a family walking together in a field, with a child on a parent's shoulders and a dog nearby"
data/frames/video1_frame_0050.jpg,100.0,01:40,"a family walking together in a field, with a child on a parent's shoulders and a dog nearby"
data/frames/video1_frame_0051.jpg,102.0,01:42,"a family walking together in a field, with a child on a parent's shoulders and a dog nearby"
data/frames/video1_frame_0052.jpg,104.0,01:44,a father and young child doing push-ups together on the floor in a living room
data/frames/video1_frame_0053.jpg,106.0,01:46,a father and young child doing push-ups together on the floor in a living room
data/frames/video1_frame_0054.jpg,108.0,01:48,a father and young child doing push-ups together on the floor in a living room
data/frames/video1_frame_0055.jpg,110.0,01:50,a father and young child doing push-ups together on the floor in a living room
data/frames/video1_frame_0056.jpg,112.0,01:52,a father and young child doing push-ups together on the floor in a living room
data/frames/video1_frame_0057.jpg,114.0,01:54,a father and young child doing push-ups together on the floor in a living room
data/frames/video1_frame_0058.jpg,116.0,01:56,a family enjoying a holiday meal together at a warmly decorated dinner table
data/frames/video1_frame_0059.jpg,118.0,01:58,a family enjoying a holiday meal together at a warmly decorated dinner table
